Player,AVG,GP-GS,AB,Runs,Hits,2B,3B,HR,RBI,TB,SLGP,BB,HBP,SO,GDP,OBP,SF,SH,SB-ATT
"M. Ham, HU ",.418 ,52-52 ,177 ,39 ,74 ,1 ,2 ,0 ,11 ,79 ,.446 ,15 ,2 ,17 ,0 ,.467 ,1 ,3 ,37-41 
"J. Cabana, HU ",.380 ,52-52 ,150 ,36 ,57 ,6 ,4 ,7 ,46 ,92 ,.613 ,14 ,10 ,12 ,0 ,.453 ,5 ,5 ,14-19 
"J. Hook, SWOSU ",.380 ,49-49 ,158 ,27 ,60 ,7 ,0 ,1 ,16 ,70 ,.443 ,17 ,0 ,10 ,1 ,.435 ,2 ,0 ,3-4 
"Max, OKB ",.370 ,55-55 ,146 ,29 ,54 ,13 ,0 ,8 ,42 ,91 ,.623 ,31 ,1 ,5 ,1 ,.478 ,2 ,0 ,6-7 
"E. Green, SNU ",.364 ,54-53 ,140 ,38 ,51 ,5 ,5 ,0 ,18 ,66 ,.471 ,7 ,2 ,9 ,0 ,.400 ,1 ,7 ,17-17 
"Reese, OKB ",.363 ,53-52 ,146 ,37 ,53 ,16 ,0 ,4 ,30 ,81 ,.555 ,17 ,2 ,12 ,0 ,.429 ,3 ,13 ,10-11 
"H. Evans, SNU ",.363 ,56-56 ,182 ,26 ,66 ,16 ,0 ,9 ,57 ,109 ,.599 ,15 ,2 ,21 ,2 ,.415 ,1 ,1 ,1-1 
"R. Dillon, SAU ",.359 ,53-53 ,167 ,33 ,60 ,15 ,1 ,13 ,49 ,116 ,.695 ,34 ,2 ,25 ,0 ,.471 ,1 ,0 ,1-1 
"G. Ore, SOSU ",.355 ,52-50 ,152 ,31 ,54 ,8 ,0 ,3 ,28 ,71 ,.467 ,20 ,8 ,24 ,0 ,.451 ,2 ,4 ,2-3 
"K. Fryrear, SOSU ",.355 ,51-51 ,138 ,29 ,49 ,11 ,1 ,2 ,21 ,68 ,.493 ,25 ,16 ,15 ,2 ,.503 ,0 ,5 ,2-2 
"H. Akers, HSU ",.353 ,41-36 ,116 ,15 ,41 ,9 ,0 ,4 ,21 ,62 ,.534 ,7 ,0 ,12 ,0 ,.387 ,1 ,1 ,3-4 
"K. Morelock, SNU ",.351 ,52-51 ,148 ,41 ,52 ,2 ,3 ,0 ,19 ,60 ,.405 ,7 ,1 ,3 ,0 ,.382 ,1 ,7 ,17-19 
"R. Sherwood, NWOSU ",.348 ,50-48 ,158 ,32 ,55 ,11 ,7 ,4 ,35 ,92 ,.582 ,10 ,1 ,34 ,0 ,.386 ,2 ,0 ,6-7 
"K. Lee, HU ",.347 ,49-47 ,124 ,17 ,43 ,2 ,0 ,0 ,8 ,45 ,.363 ,3 ,0 ,15 ,0 ,.362 ,0 ,4 ,21-22 
"H. Howell, NWOSU ",.345 ,50-50 ,148 ,14 ,51 ,5 ,0 ,5 ,27 ,71 ,.480 ,21 ,2 ,14 ,3 ,.425 ,3 ,0 ,3-3 
"Ariana Rolle, SAU ",.339 ,53-53 ,165 ,37 ,56 ,6 ,2 ,0 ,11 ,66 ,.400 ,13 ,0 ,20 ,0 ,.385 ,1 ,11 ,5-6 
"L. Warren, HSU ",.333 ,42-41 ,135 ,19 ,45 ,0 ,0 ,0 ,8 ,45 ,.333 ,5 ,1 ,23 ,0 ,.359 ,1 ,2 ,30-34 
"E. Williams, OUA ",.331 ,52-50 ,154 ,22 ,51 ,9 ,5 ,10 ,32 ,100 ,.649 ,13 ,1 ,30 ,1 ,.382 ,2 ,2 ,4-6 
"K. Mullendor, SNU ",.331 ,54-51 ,151 ,27 ,50 ,12 ,0 ,2 ,27 ,68 ,.450 ,12 ,3 ,20 ,0 ,.387 ,2 ,1 ,1-3 
"L. Heshiki, SNU ",.326 ,52-52 ,138 ,23 ,45 ,11 ,0 ,6 ,40 ,74 ,.536 ,20 ,11 ,9 ,1 ,.439 ,4 ,8 ,1-1 
"S. Harlow, SOSU ",.326 ,52-52 ,181 ,22 ,59 ,10 ,0 ,3 ,31 ,78 ,.431 ,7 ,1 ,14 ,1 ,.347 ,4 ,0 ,2-2 
"K. Moctezuma, SAU ",.324 ,53-53 ,176 ,34 ,57 ,8 ,2 ,4 ,29 ,81 ,.460 ,22 ,2 ,21 ,1 ,.401 ,2 ,1 ,2-2 
"M. Rahon, SWOSU ",.322 ,48-45 ,149 ,19 ,48 ,12 ,0 ,2 ,22 ,66 ,.443 ,11 ,1 ,13 ,0 ,.373 ,0 ,5 ,2-2 
"S. Sundbye, SNU ",.322 ,55-54 ,143 ,29 ,46 ,5 ,1 ,2 ,24 ,59 ,.413 ,9 ,5 ,9 ,1 ,.380 ,1 ,6 ,9-11 
"Greene, OKB ",.322 ,55-55 ,171 ,42 ,55 ,11 ,4 ,4 ,22 ,86 ,.503 ,25 ,2 ,35 ,0 ,.414 ,0 ,9 ,22-24 
"B. Camp, UAM ",.320 ,51-51 ,153 ,25 ,49 ,8 ,0 ,1 ,21 ,60 ,.392 ,18 ,5 ,18 ,0 ,.409 ,0 ,4 ,19-21 
"A. Erichsen, UAM ",.320 ,52-51 ,147 ,43 ,47 ,4 ,3 ,0 ,15 ,57 ,.388 ,31 ,1 ,19 ,0 ,.439 ,1 ,3 ,28-31 
"Blankenship, HU ",.316 ,52-52 ,155 ,25 ,49 ,8 ,0 ,6 ,30 ,75 ,.484 ,13 ,0 ,12 ,0 ,.363 ,3 ,6 ,5-6 
"L. Lester, OUA ",.316 ,51-50 ,152 ,8 ,48 ,9 ,0 ,1 ,18 ,60 ,.395 ,10 ,3 ,17 ,1 ,.370 ,0 ,2 ,1-1 
"K. Cox, UAM ",.315 ,51-51 ,165 ,28 ,52 ,10 ,1 ,4 ,31 ,76 ,.461 ,10 ,0 ,24 ,0 ,.346 ,4 ,4 ,4-4 
"Maycie Hardy, ATU ",.315 ,43-41 ,124 ,16 ,39 ,9 ,0 ,3 ,17 ,57 ,.460 ,15 ,1 ,16 ,2 ,.390 ,1 ,0 ,0-0 
"H. Nillen, SAU ",.312 ,53-53 ,157 ,20 ,49 ,9 ,1 ,5 ,34 ,75 ,.478 ,23 ,2 ,10 ,4 ,.398 ,4 ,1 ,0-0 
"Ryan, OKB ",.311 ,55-55 ,151 ,33 ,47 ,5 ,0 ,18 ,50 ,106 ,.702 ,26 ,4 ,47 ,0 ,.423 ,1 ,2 ,1-1 
"K. Rackley, SOSU ",.310 ,52-51 ,116 ,17 ,36 ,4 ,0 ,0 ,8 ,40 ,.345 ,13 ,0 ,24 ,0 ,.380 ,0 ,4 ,3-5 
"C. Hewitt, SWOSU ",.309 ,49-49 ,123 ,20 ,38 ,6 ,2 ,5 ,21 ,63 ,.512 ,21 ,2 ,29 ,0 ,.415 ,1 ,6 ,7-8 
"E. Adler, OKB ",.306 ,55-55 ,160 ,39 ,49 ,8 ,0 ,0 ,23 ,57 ,.356 ,22 ,7 ,6 ,0 ,.411 ,1 ,11 ,20-22 
"K. Boline, SWOSU ",.306 ,49-49 ,147 ,19 ,45 ,9 ,4 ,1 ,21 ,65 ,.442 ,16 ,1 ,18 ,1 ,.376 ,1 ,3 ,4-4 
"J. Burch, HSU ",.305 ,51-49 ,128 ,18 ,39 ,4 ,0 ,0 ,17 ,43 ,.336 ,10 ,6 ,14 ,0 ,.377 ,2 ,7 ,8-10 
